local_time,forecast_step,intensity_hat
2026-07-11T11:00:00+10:00,1,470.793206247839
2026-07-11T12:00:00+10:00,2,449.6527844050984
2026-07-11T13:00:00+10:00,3,454.99248909595366
2026-07-11T14:00:00+10:00,4,482.8460262598164
2026-07-11T15:00:00+10:00,5,546.453717765165
2026-07-11T16:00:00+10:00,6,587.6535544169146
2026-07-11T17:00:00+10:00,7,618.8623199975308
2026-07-11T18:00:00+10:00,8,635.3855750990244
2026-07-11T19:00:00+10:00,9,643.7019068470291
2026-07-11T20:00:00+10:00,10,659.7764682345122
2026-07-11T21:00:00+10:00,11,682.5352621065001
2026-07-11T22:00:00+10:00,12,715.812931819174
2026-07-11T23:00:00+10:00,13,732.7931109333763
2026-07-12T00:00:00+10:00,14,735.3602564039682
2026-07-12T01:00:00+10:00,15,719.3168144202668
2026-07-12T02:00:00+10:00,16,710.3366530742396
2026-07-12T03:00:00+10:00,17,690.3740875090609
2026-07-12T04:00:00+10:00,18,677.3468043663632
2026-07-12T05:00:00+10:00,19,662.5751715150528
2026-07-12T06:00:00+10:00,20,656.4833514440404
2026-07-12T07:00:00+10:00,21,653.4134078602913
2026-07-12T08:00:00+10:00,22,643.3404211425094
2026-07-12T09:00:00+10:00,23,621.1374831385235
2026-07-12T10:00:00+10:00,24,605.6193767134894
